#time,accel_x,accel_y,accel_z
1201.773875,-296.082377,888.247130,-78294.959896
1201.776369,-592.164754,1628.453072,-79673.931792
1201.778863,592.164754,2664.741391,-80593.246390
1201.781357,148.041188,1480.411884,-80899.684589
1201.783851,-740.205942,1776.494261,-78294.959896
1201.786345,-888.247130,444.123565,-77528.864398
1201.788839,-296.082377,-296.082377,-77375.645298
1201.791333,-444.123565,1036.288319,-78754.617194
1201.793827,0.000000,1924.535449,-80133.589091
1201.796321,148.041188,2516.700203,-81052.903688
1201.798814,-592.164754,2516.700203,-80746.465489
1201.801308,-296.082377,1184.329507,-78141.740796
1201.803802,592.164754,1776.494261,-76762.768900
1201.806296,-296.082377,-4885.359217,-78141.740796
1201.808790,3997.112087,-888.247130,-77682.083497
1201.811284,3849.070898,1036.288319,-80133.589091
1201.813778,2516.700203,1184.329507,-81052.903688
1201.816272,-148.041188,296.082377,-80440.027290
1201.818766,6217.729913,-6513.812290,-77682.083497
1201.821260,1924.535449,148.041188,-76762.768900
1201.823645,3552.988522,-3108.864956,-77375.645298
1201.826030,2516.700203,4293.194464,-79061.055394
1201.828415,1036.288319,-8586.388927,-81818.999186
1201.830800,4145.153275,5921.647536,-77835.302597
1201.833186,-1480.411884,-1776.494261,-82125.437386
1201.835571,2960.823768,5773.606348,-78754.617194
1201.837956,-6661.853478,7402.059420,-76149.892501
1201.840341,-3552.988522,592.164754,-80133.589091
1201.842726,-1924.535449,7846.182985,-76456.330700
1201.845111,-2516.700203,-2516.700203,-81359.341888
1201.847497,148.041188,592.164754,-79214.274493
1201.849882,-1924.535449,10362.883188,-78141.740796
1201.852267,-3552.988522,1924.535449,-81512.560987
1201.854652,-3997.112087,5921.647536,-75537.016103
1201.857037,-444.123565,-148.041188,-79827.150892
1201.859422,-2664.741391,-1776.494261,-78754.617194
1201.861808,-4737.318029,6661.853478,-76915.987999
1201.864193,-1628.453072,2812.782580,-78601.398095
1201.866578,148.041188,-1924.535449,-81665.780087
1201.868963,-888.247130,10807.006753,-77069.207099
1201.871348,-3404.947333,1480.411884,-81052.903688
1201.873733,740.205942,1332.370696,-77835.302597
1201.876119,-4145.153275,0.000000,-77682.083497
1201.878504,-5625.565159,1184.329507,-77682.083497
1201.880889,-5181.441594,13027.624579,-75843.454302
1201.883274,-2960.823768,5477.523971,-79980.369991
1201.885659,-296.082377,1036.288319,-80899.684589
1201.888044,-444.123565,-444.123565,-78907.836294
1201.890429,-1924.535449,2960.823768,-78141.740796
1201.892815,-2220.617826,7550.100608,-76609.549800
1201.895200,-5921.647536,5773.606348,-78601.398095
1201.897585,-1924.535449,-888.247130,-79214.274493
1201.899970,-3701.029710,9030.512492,-79827.150892
1201.902355,-5921.647536,-3552.988522,-82125.437386
1201.904740,-1480.411884,15840.407159,-75230.577904
1201.907126,-1480.411884,-3404.947333,-80593.246390
1201.909511,3849.070898,1628.453072,-74617.701505
1201.911896,3256.906145,5033.400406,-76303.111601
1201.914281,0.000000,-8734.430116,-83504.409282
1201.916666,740.205942,12139.377449,-76762.768900
1201.919124,-4737.318029,2960.823768,-81512.560987
1201.921583,1480.411884,1036.288319,-77375.645298
1201.924041,2960.823768,-1628.453072,-76303.111601
1201.926499,6513.812290,-14656.077652,-81206.122788
1201.928957,4885.359217,9326.594869,-74924.139704
1201.931415,-444.123565,-4885.359217,-85036.600278
1201.933873,-1332.370696,3552.988522,-77835.302597
1201.936331,1924.535449,3108.864956,-80746.465489
1201.938789,-1036.288319,-7994.224174,-80440.027290
1201.941248,7550.100608,0.000000,-74311.263306
1201.943706,-3701.029710,-296.082377,-76456.330700
1201.946164,2220.617826,-148.041188,-78601.398095
1201.948622,888.247130,4737.318029,-80440.027290
1201.951080,148.041188,-5477.523971,-83810.847481
1201.953538,6957.935855,-2960.823768,-78754.617194
1201.955996,2368.659014,-296.082377,-77375.645298
1201.958454,-444.123565,-148.041188,-75690.235202
1201.960912,-148.041188,4293.194464,-75077.358804
1201.963371,-1480.411884,-888.247130,-80286.808190
1201.965829,148.041188,3256.906145,-80286.808190
1201.968287,2664.741391,148.041188,-82891.532884
1201.970745,3256.906145,-1480.411884,-78294.959896
1201.973203,2516.700203,-2960.823768,-77069.207099
1201.975661,2664.741391,-1628.453072,-74924.139704
1201.978119,3997.112087,-6069.688724,-78907.836294
1201.980577,2960.823768,592.164754,-79673.931792
1201.983036,888.247130,5033.400406,-81359.341888
1201.985494,-444.123565,888.247130,-82125.437386
1201.987952,6365.771101,-2812.782580,-79214.274493
1201.990410,2220.617826,-3256.906145,-75383.797003
1201.992868,1776.494261,-740.205942,-76149.892501
1201.995326,296.082377,-3256.906145,-77375.645298
1201.997784,4885.359217,8438.347739,-79980.369991
1202.000242,1776.494261,-6513.812290,-85649.476676
1202.002701,3552.988522,2960.823768,-78754.617194
1202.005159,-4293.194464,2812.782580,-76609.549800
1202.007617,-740.205942,-8734.430116,-77528.864398
1202.010075,-1776.494261,16284.530724,-72012.976812
1202.012533,-4145.153275,-2960.823768,-84423.723880
1202.014991,2220.617826,5773.606348,-79673.931792
1202.017500,-1480.411884,9030.512492,-78294.959896
1202.020008,-296.082377,-3404.947333,-80593.246390
1202.022517,-4589.276840,11695.253884,-73085.510509
1202.025025,-3108.864956,-2220.617826,-80746.465489
1202.027534,-2220.617826,3552.988522,-77528.864398
1202.030042,-3404.947333,2664.741391,-80746.465489
1202.032551,-2516.700203,6513.812290,-78141.740796
1202.035059,-2664.741391,7846.182985,-78294.959896
1202.037568,-2368.659014,740.205942,-79827.150892
1202.040076,-444.123565,6957.935855,-77835.302597
1202.042585,-6069.688724,2664.741391,-79520.712692
1202.045093,-296.082377,740.205942,-79061.055394
1202.047602,-3701.029710,8290.306550,-77375.645298
1202.050110,-7254.018232,1480.411884,-80440.027290
1202.052619,-148.041188,5773.606348,-75843.454302
1202.055127,-2072.576638,296.082377,-79827.150892
1202.057636,-740.205942,5181.441594,-77375.645298
1202.060144,444.123565,3256.906145,-79827.150892
1202.062653,-3256.906145,-1332.370696,-80133.589091
1202.065161,-4441.235652,5329.482782,-78294.959896
