#time,accel_x,accel_y,accel_z
1835.651557,-1184.329507,2812.782580,-78907.836294
1835.654130,888.247130,2812.782580,-77988.521696
1835.656703,888.247130,1480.411884,-78754.617194
1835.659277,1036.288319,-296.082377,-78754.617194
1835.661850,-296.082377,1332.370696,-78448.178995
1835.664424,-1776.494261,1628.453072,-78907.836294
1835.666997,-296.082377,2664.741391,-78754.617194
1835.669570,888.247130,1184.329507,-79673.931792
1835.672144,0.000000,2960.823768,-79061.055394
1835.674717,0.000000,592.164754,-79980.369991
1835.677290,1924.535449,3404.947333,-77375.645298
1835.679864,2812.782580,1036.288319,-78294.959896
1835.682437,1332.370696,4293.194464,-78448.178995
1835.685011,3701.029710,5921.647536,-79367.493593
1835.687584,4441.235652,888.247130,-79827.150892
1835.690157,2368.659014,7105.977043,-77375.645298
1835.692731,-1628.453072,7550.100608,-79214.274493
1835.695304,5773.606348,2960.823768,-78754.617194
1835.697877,5921.647536,6809.894666,-79061.055394
1835.700451,888.247130,2516.700203,-79520.712692
1835.703024,3997.112087,3256.906145,-77069.207099
1835.705598,-2516.700203,4737.318029,-77835.302597
1835.708171,-4441.235652,1628.453072,-79980.369991
1835.710744,-8734.430116,-10362.883188,-81359.341888
1835.713318,-2664.741391,-5773.606348,-76915.987999
1835.715891,-444.123565,10807.006753,-78294.959896
1835.718464,888.247130,-8586.388927,-81512.560987
1835.721038,-1924.535449,9178.553681,-73851.606007
1835.723611,-2516.700203,-5625.565159,-82278.656485
1835.726185,-4293.194464,-148.041188,-76762.768900
1835.728758,0.000000,888.247130,-80440.027290
1835.731331,-3701.029710,-6365.771101,-77222.426198
1835.733905,-592.164754,7550.100608,-77222.426198
1835.736478,-444.123565,888.247130,-80286.808190
1835.739051,-1480.411884,-1184.329507,-79214.274493
1835.741625,-2368.659014,1332.370696,-78294.959896
1835.744198,-740.205942,2220.617826,-77528.864398
1835.746772,-888.247130,-1036.288319,-78448.178995
1835.749345,-296.082377,2220.617826,-78294.959896
1835.751889,-888.247130,-592.164754,-80440.027290
1835.754434,-2812.782580,-2960.823768,-79980.369991
1835.756978,-3108.864956,1480.411884,-78448.178995
1835.759522,-4589.276840,-7846.182985,-79827.150892
