#time,accel_x,accel_y,accel_z
2394.212756,-148.041188,444.123565,-78294.959896
2394.215315,296.082377,1924.535449,-77988.521696
2394.217873,148.041188,1332.370696,-77988.521696
2394.220431,-296.082377,2516.700203,-77375.645298
2394.222989,-444.123565,2368.659014,-77988.521696
2394.225548,1036.288319,1184.329507,-78754.617194
2394.228106,-296.082377,1036.288319,-79367.493593
2394.230664,296.082377,0.000000,-78601.398095
2394.233222,0.000000,740.205942,-77988.521696
2394.235781,0.000000,1184.329507,-78294.959896
2394.238339,296.082377,1628.453072,-77682.083497
2394.240897,148.041188,1332.370696,-77835.302597
2394.243455,148.041188,1480.411884,-77988.521696
2394.246014,-296.082377,1924.535449,-78448.178995
2394.248572,-444.123565,1628.453072,-77988.521696
2394.251130,592.164754,888.247130,-77988.521696
2394.253688,1628.453072,148.041188,-78141.740796
2394.256247,1480.411884,2516.700203,-77528.864398
2394.258805,4145.153275,148.041188,-79214.274493
2394.261363,3701.029710,2220.617826,-77682.083497
2394.263921,8734.430116,2812.782580,-79061.055394
2394.266480,1776.494261,-1628.453072,-78907.836294
2394.269035,4441.235652,3552.988522,-78141.740796
2394.271590,3108.864956,3404.947333,-77375.645298
2394.274145,296.082377,-1036.288319,-77835.302597
2394.276700,7994.224174,2812.782580,-77682.083497
2394.279255,8438.347739,1480.411884,-78754.617194
2394.281810,5477.523971,444.123565,-78601.398095
2394.284366,2072.576638,1776.494261,-79367.493593
2394.286921,-8586.388927,-296.082377,-78448.178995
2394.289476,-9326.594869,3849.070898,-77988.521696
2394.292031,-6069.688724,444.123565,-77682.083497
2394.294586,2220.617826,1332.370696,-77375.645298
2394.297141,2664.741391,2516.700203,-77682.083497
2394.299696,740.205942,-740.205942,-78141.740796
2394.302251,-7846.182985,2368.659014,-77528.864398
2394.304807,-4589.276840,4145.153275,-77988.521696
2394.307362,-11103.089130,-3108.864956,-80746.465489
2394.309917,4885.359217,4737.318029,-75996.673402
2394.312472,-1776.494261,1332.370696,-77375.645298
2394.315027,-5329.482782,148.041188,-76149.892501
2394.317582,-4737.318029,6513.812290,-75537.016103
2394.320137,-2516.700203,-3849.070898,-81512.560987
2394.322693,1776.494261,888.247130,-78448.178995
2394.325248,1036.288319,2960.823768,-79367.493593
2394.327803,-1332.370696,-740.205942,-76915.987999
2394.330358,-6661.853478,3404.947333,-75383.797003
2394.332913,-6069.688724,2072.576638,-77835.302597
2394.335468,-6809.894666,-1184.329507,-78907.836294
2394.338023,-2072.576638,1776.494261,-78907.836294
2394.340578,-1036.288319,444.123565,-79061.055394
2394.343134,-4441.235652,1184.329507,-76762.768900
2394.345689,296.082377,2960.823768,-77375.645298
2394.348244,-3552.988522,-1628.453072,-79673.931792
2394.350799,-4589.276840,888.247130,-76915.987999
2394.353354,-7846.182985,2072.576638,-80286.808190
2394.355909,-6365.771101,2516.700203,-76456.330700
2394.358464,148.041188,2664.741391,-76762.768900
2394.361019,-2516.700203,148.041188,-80440.027290
2394.363575,1480.411884,2960.823768,-76456.330700
2394.366130,-1924.535449,-2220.617826,-80746.465489
2394.368685,6809.894666,2516.700203,-77375.645298
2394.371105,-3701.029710,1776.494261,-77069.207099
2394.373526,1332.370696,5033.400406,-78141.740796
